"","title","dataset_citation","publication_citation","description","url","contact_name","contact_affiliation","email","orcid","dataset_license","project_identifier","publication_status","taxon","location_description","study_collection_area","geo_datum","gps_obfuscation_info","species_id_method","study_design","sampling_strategy","sampling_method","sampling_protocol","measurement_unit","value_transform","sample_start_date","sample_start_time","sample_end_date","sample_end_time","sample_value","sample_sex","sample_stage","sample_location","sample_collection_area","sample_lat_dd","sample_long_dd","sample_environment","additional_location_info","additional_sample_info","sample_name"
"1348843","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-04-19,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348901","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-06-07,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348945","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-10-15,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1348987","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-09-14,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349028","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-03-26,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349069","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-02-07,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349110","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-06-06,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349152","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-05-11,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349193","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-12-14,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349238","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-04-17,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349279","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-09-13,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349330","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-02-29,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349371","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-07-26,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349413","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-06-05,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349454","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-05-09,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349498","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-10-09,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349543","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-03-22,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349592","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-06-04,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349633","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-07-16,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349675","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-11-30,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349731","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-02-27,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349781","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-05-07,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349822","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-11-27,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349871","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-09-10,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349912","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-03-20,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1349953","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-02-24,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350000","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-05-31,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350041","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-07-12,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350084","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-10-02,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350140","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-02-23,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350185","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-05-03,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350226","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-11-16,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350268","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-04-10,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350309","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-03-16,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350352","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-07-18,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350393","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-05-29,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350437","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-09-28,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350491","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-02-21,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350532","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-07-17,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350573","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-08-17,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350614","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-05-01,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
"1350659","Mosquito surveillance in Orange County, Florida, USA. 2012","DOI:10.5281/zenodo.1220209",NA,"Mosquito surveillance from the Orange County Mosquito Control District Vector Surveillance program to survey mosquito populations.",NA,"Dave Pelly;Orange County Mosquito Control District",NA,NA,NA,"CC BY","VBP0000257","unpublished","Mansonia titillans","Orange County",NA,NA,NA,NA,NA,NA,"carbon dioxide,light","CDC light trap",NA,NA,NA,NA,2012-03-14,NA,0,"female","adult","Orange County",NA,28.4423,-81.5426,NA,NA,NA,NA
